subject,response,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
study2_215,"{""Q0"":""no real strategy just tried to be honest""}",,,,,,
study2_214,"{""Q0"":""n/a""}",,,,,,
study2_213,"{""Q0"":""I answered, honestly, the way I actually feel about myself and about things. I was just normal during and after the task, no extreme feelings or emotions.""}",,,,,,
study2_212,"{""Q0"":""""}",,,,,,
study2_211,"{""Q0"":""For the words, I just tried to see which emotion fit me better. That was about it, and just answering as honestly as I could.""}",,,,,,
study2_210,"{""Q0"":""I think i did kind of terrible on the word recall. Like some of them seemed familiar but were actually the opposite word (like i think i said lucky was there but the word was actually unlucky or whatever). ""}",,,,,,
study2_209,"{""Q0"":""""}",,,,,,
study2_208,"{""Q0"":""I did not have any but it was a fun study""}",,,,,,
study2_207,"{""Q0"":""None""}",,,,,,
study2_206,"{""Q0"":""No strategy just trusted my feelings and guts""}",,,,,,
study2_205,"{""Q0"":""i feel I tried to be honest with myself and my limitations, and yhinking of myself as this way gives me so much oppotunity to learn and grow""}",,,,,,
study2_204,"{""Q0"":""Didn't have any strategies, just answered honestly.""}",,,,,,
study2_203,"{""Q0"":""A lot of these were hard because I have mixed feelings about myself.  Sometimes I feel useless or worthless, sometimes I feel I have inherent value and help those I love.  It's just more complicated than one consistent feeling, but I did my best even though I'm often conflicted!""}",,,,,,
study2_202,"{""Q0"":""To be honest, this is a depression simulator, especially for someone like myself, but its always good to take a look at your feelings on the matter. When doing the task with comparing two words, I felt my mind slow down and over analyzed each word. Other than that this was a straightforward study, thanks for the invitation. ""}",,,,,,
study2_201,"{""Q0"":""I went with my gut when choosing the word that most described me.  There were a few times I took an extra couple of seconds because I was really not sure which word described me better.  But I ultimately went with my gut decision, or first thought.""}",,,,,,
study2_200,"{""Q0"":""""}",,,,,,
study2_199,"{""Q0"":""""}",,,,,,
study2_198,"{""Q0"":""I determined, on how I feel about myself, and how people react around me, I thought about my overall behaviors , and accomplishmens. I considered the things people know about me, and the things I keep hidden""}",,,,,,
study2_197,"{""Q0"":""None""}",,,,,,
study2_196,"{""Q0"":""I am worried that I chose the right words. ""}",,,,,,
study2_195,"{""Q0"":""I decided to go with the word that most related to myself.  Some cases did not represent me at all, so I just chose the least offensive one.  might be best to put a none button""}",,,,,,
study2_194,"{""Q0"":""I employed no strategies. All of my answers were based off how I genuinely felt. I feel a slightly better about myself having taken such a survey, so thank you for having me and take care. ""}",,,,,,
study2_193,"{""Q0"":""i answered honestly and quickly. The task was interesting. A few more practice trails would help.""}",,,,,,
study2_192,"{""Q0"":""I enjoyed doing this!""}",,,,,,
study2_191,"{""Q0"":""No, thank you!""}",,,,,,
study2_190,"{""Q0"":""i did not employ any particular strategies""}",,,,,,
study2_189,"{""Q0"":""I thought \""what do I feel more on a day to day basis.\"" That's basically the only strategy I used, I weighed my thoughts like a mental balance scale and went with whatever I leaned more towards. Or I quickly thought about all the things I've done good and bad that relate to the word and judged myself on it/gave a mental numeral rating. Honestly this experiment made me realize maybe I'm more negative and hard on myself than I thought I was. ""}",,,,,,
study2_188,"{""Q0"":""I just went with my gut reaction mostly. I think I already have a good feeling on what type of person I am.""}",,,,,,
study2_187,"{""Q0"":""I think this was faster than prolific told me it would be""}",,,,,,
study2_186,"{""Q0"":""I will admit, this survey made me realize how deeply stuck in a rut I am, but you know what? I'll do something bout it! I'll fix it somehow!""}",,,,,,
study2_185,"{""Q0"":""I did not employ any strategies while completing the task. After completing the experiment, I feel alright.""}",,,,,,
study2_184,"{""Q0"":""Nothing to add, thanks""}",,,,,,
study2_183,"{""Q0"":""I did not really employ any strategy I just answered truthfully and my feelings after completeing the experiment were that I'd love to know what my overall results were to find out more about myself.""}",,,,,,
study2_182,"{""Q0"":""Went well, no bugs. It was intuitive. No notes really lol""}",,,,,,
study2_181,"{""Q0"":""This was an interesting study to participate in.""}",,,,,,
study2_180,"{""Q0"":""I didn't have a strategy. I feel good after completing the experiment. It was interesting, though clearer instructions at the start could help.""}",,,,,,
study2_179,"{""Q0"":""The study made me self-reflect a lot more than I originally anticipated. I feel like I learned a lot about myself that I should address.""}",,,,,,
study2_178,"{""Q0"":""This was an interesting experiment!""}",,,,,,
study2_177,"{""Q0"":""I was just going most of the time with my gut feeling. I am a very decisive person, so it wasn't hard for me to choose. I know myself pretty well. I feel worse about myself now, though, compared to when I started the experiment. Maybe make it a bit shorter! I got a little mentally fatigued near the end.""}",,,,,,
study2_176,"{""Q0"":""I tried to just go with my gut feeling on my responses. I found that if I thought too much about them, I would just overthink it. I feel fine after completing the experiment, the same I did before I started it. ""}",,,,,,
study2_175,"{""Q0"":""I tried to to consider how I think of myself in a fair way. ""}",,,,,,
study2_174,"{""Q0"":""i just tried to answer the best i could and really be accurate on how i thought the words described me on the scale. i wouldnt change anything about the survey i think it was set up perfectly and very easy to understand""}",,,,,,
study2_173,"{""Q0"":""How I felt in the moment""}",,,,,,
study2_172,"{""Q0"":""I didn't like having to recall words because there was so many but that is about it""}",,,,,,
study2_171,"{""Q0"":""Wishing you  success with experiment""}",,,,,,
study2_170,"{""Q0"":""No strategies, just answered the questions based on what represents me. ""}",,,,,,
study2_169,"{""Q0"":""Didn't use much strategy. I feel fine. Nothing comes to mind. ""}",,,,,,
study2_168,"{""Q0"":""I feel even worse than I did before but at least I know I'm probably depressed""}",,,,,,
study2_167,"{""Q0"":""I can't think of anything extra to add. I just concentrated on the tasks I was given and tried my hardest to think of which words fit me best when I had two to choose from, and on the slider task I thought about which end of the spectrum I was closer to.""}",,,,,,
study2_166,"{""Q0"":""""}",,,,,,
study2_165,"{""Q0"":""I didn't use any strategies to complete the task. And my feelings throughout the experiment remained neutral; I didn't put much thought into how I felt while completing the tasks.""}",,,,,,
study2_164,"{""Q0"":""I had feelings of relief but also sadness and happiness. I feel like the study helped me vent""}",,,,,,
study2_163,"{""Q0"":""I just compared these words with myself to see which one is more suitable for me. I am feeling calm after completing the experiment.""}",,,,,,
study2_162,"{""Q0"":""I just went with what felt right.""}",,,,,,
study2_161,"{""Q0"":""I had no issues with the experiment. I just tried to pick what I thought was most accurate. I feel a bit worse about myself after, but that's life I guess.""}",,,,,,
study2_160,"{""Q0"":""I mostly went with my instinct/intuition when it came to most of the words in the tasks. Since I have been feeling various levels of ups and downs lately, it was a little difficult and I spent more time on some than others, while other words were strangely very apt and familiar to how I would specifically describe myself. Overall I found it very engaging and interesting to participate in.""}",,,,,,
study2_159,"{""Q0"":""No special strategies employed. I just reacted to each question with my intuitive honest opinion. Thank you.""}",,,,,,
study2_158,"{""Q0"":""I just did what my gut told me, and then for the memory task, i did what my memory told me. Thank you for contributing to science.""}",,,,,,
study2_157,"{""Q0"":""I didn't have any strategies, my feelings were/are neutral. Overall the task was done well.""}",,,,,,
study2_156,"{""Q0"":""I really didn't employ any strategies. I just tried to do the best I could. Thank you.""}",,,,,,
study2_155,"{""Q0"":""Nothing else. Was simple to follow""}",,,,,,
study2_154,"{""Q0"":""The task really made me think. Sometimes I had to stop and ask myself whether that was the way I really felt, or if I was answering based on the way I wanted to feel/thought about myself.""}",,,,,,
study2_153,"{""Q0"":""I had someone walk into my office with an urgent question while I was doing the final section, so I ended up not choosing on part of the last batch of questions. Hopefully this does not invalidate my data, because I gave my best effort on everything up until then. :(""}",,,,,,
study2_152,"{""Q0"":""No comments""}",,,,,,
study2_151,"{""Q0"":""I didn't really employ any strategies. I just saw the word and thought about how it related to me compared to others around me.\nAnd I didn't feel much after completing the experiment.""}",,,,,,
study2_150,"{""Q0"":""""}",,,,,,
study2_149,"{""Q0"":""no special strategies just took each word and held to myself like a mirror""}",,,,,,
study2_148,"{""Q0"":""I'm tired now.""}",,,,,,
study2_147,"{""Q0"":""I just tried to be honest in my answers. There were some that were more easy to put into a rating than others, but I tried to go with a more \""overall\"" feeling for each thing. Some I was more certain of and those were easier to rate. I really did not have a strategy.I feel kind of bad about some of my characteristics that I rated myself on. I feel I need to do better in a lot of areas of my life.""}",,,,,,
study2_146,"{""Q0"":""I didn't use any specific strategies or anything and just tried to answer things the best I could.""}",,,,,,
study2_145,"{""Q0"":""Apparently I think I am adorable, I recall clicking it twice on the \""fast\"" game:)\nGood luck with your studies!  ""}",,,,,,
study2_144,"{""Q0"":""""}",,,,,,
study2_143,"{""Q0"":""I didn't employ any strategies just tried to answer the questions as honestly as I could. Thanks for doing studies like this the money goes towards feeding my cats and myself while times are tough and it really is a big help. Best of luck with your work!""}",,,,,,
study2_142,"{""Q0"":""I never realized how negatively I viewed myself since I did this reflection. So thank you for giving me the time to see how i view myself so that hopefully i can make a change""}",,,,,,
study2_141,"{""Q0"":""I think this task was great and a great opportunity to be self-reflective. It made me realize that I think better of myself when focusing on individual words than I would as a whole. I think more highly of myself than I thought.  :)""}",,,,,,
study2_140,"{""Q0"":""i dont think there really is much else to tell""}",,,,,,
study2_139,"{""Q0"":""I didn't really use any specific strategy, I already had developed theses thoughts and feelings over the years, so some of my choices were almost mindless. Other choices I based off of my feelings and intuition on what I felt was more accurate. My feelings after completing the experiment are more positive than when I started, because this made me stop and think about myself and what was an accurate representation. It gave me a more clearer image of how I see me to myself, and that was very helpful.""}",,,,,,
study2_138,"{""Q0"":""""}",,,,,,
study2_137,"{""Q0"":""there were no strategies or anything else to add""}",,,,,,
study2_136,"{""Q0"":""I did not have any startegies, just pick the word that resonated with me the most.""}",,,,,,
study2_135,"{""Q0"":""no strategy, just thought about which one I related to more. Sometimes I accidentally hit the wrong button, usually a negative word and once I hit it I felt bad that I judged myself that way. \nNo strong feelings afterward, but makes me think a little about how I view my own self worth.""}",,,,,,
study2_134,"{""Q0"":""I expressed how I think of myself.""}",,,,,,
study2_133,"{""Q0"":""""}",,,,,,
study2_132,"{""Q0"":""When I was doing the experiment, I made sure to take breaks so I could stand up and clear my mind before starting the experiment again. I also tried to be accurate. I feel pretty good after completing the experiment, as though I got some thoughts that have been bothering me for a while off of my mind. I think the task would be more fun if it was made into a game with images such as cartoons. ""}",,,,,,
study2_131,"{""Q0"":""No real strategies""}",,,,,,
study2_130,"{""Q0"":""Picked one that resembled my personality/thoughts of myself, tried to be completely honest about how I feel, etc. ""}",,,,,,
study2_129,"{""Q0"":""The tasks worked well for me.  I was surprised by the one where I was asked to enter words I had scene.  Also, I added a space after the comma between words, which I hope didn't cause any issues.""}",,,,,,
study2_128,"{""Q0"":""i did not use any strategies. I felt some kind of 'motivation' to get better while completing the study, when I was picking in between words it made realize maybe I do not think as bad about me as i thought i did, kind of some therapy session. overall, a great study""}",,,,,,
study2_127,"{""Q0"":""""}",,,,,,
study2_126,"{""Q0"":""I tried to think about I think, feel and behave, most of the time.\nI thought the experiment was interesting and engaging. However, it was very long,  much longer than the time stated, which made me feel frustrated and deceived.""}",,,,,,
study2_125,"{""Q0"":""It was engaging. Not that repetitive either, besides the first and last tasks.""}",,,,,,
study2_124,"{""Q0"":""I just did the study and tried to concentrate on it as much as I could. I suppose it made me feel like I have a very low self esteem over all.""}",,,,,,
study2_123,"{""Q0"":""Some of the questions were hard to gauge.""}",,,,,,
study2_122,"{""Q0"":""Specifically, on the pick one or the other word choice exercise - I fell like I was consistent with my answers matching from one exercise to the next but can see myself slightly changing the scale from one moment to the next when asked to what extent a word describes me""}",,,,,,
study2_121,"{""Q0"":""I just tried to consider which of the words were most descriptive of me, which was tricky sometimes because occasionally neither felt \""right\"". ""}",,,,,,
study2_120,"{""Q0"":""""}",,,,,,
study2_119,"{""Q0"":""I just tried to give an honest answer as best I could with the time constraint. I felt happy that I finished the experiment, until this part, because I feel like what I write here isn't very useful and is wasting my time. I don't really have anything else to add. ""}",,,,,,
study2_118,"{""Q0"":""""}",,,,,,
study2_117,"{""Q0"":""I did not use any strategies beyond trying to answer as honestly as possible""}",,,,,,
study2_116,"{""Q0"":""I just tried to go with my gut feeling. I didn't have a real strategy.""}",,,,,,
study2_115,"{""Q0"":""I thought about how I see myself. I recognize I'm depressed but feel overwhelmed with my feelings and what I have to do to feel better. \n\nThank you for the opportunity to participate in this research! ""}",,,,,,
study2_114,"{""Q0"":""my strategy was just to be honest and which one related most to me. I felt that maybe im a little to down on myself because I was relating to some harmful words that I shouldnt. ""}",,,,,,
study2_113,"{""Q0"":""I found that I did not identify with words like \""vermin\"" \""pest\"" \""mess\"" Those felt very harsh to me. And even though I didn't identify with them, I felt that seeing all of the negative words made me feel a bit negative. ""}",,,,,,
study2_112,"{""Q0"":""I just went with my instincts. Sometimes I looked up the definition of the words to get a better grasp on what I was feeling because some of them caught me off guard. It was actually a great study to participate in, made me think about myself a lot and how I feel about myself.""}",,,,,,
study2_111,"{""Q0"":""When comparing words that were closer to me, I thought the one that jumps out is probably right. That did seem to prove true, when I could have taken more time to analyze but didn't need to. My main strategy was getting doses of reality from what my partner has said to me versus what I generally have thought or do think about myself. I felt kind of pinned in, encumbered by the words, but thought they were a little more expansive than normal. ""}",,,,,,
study2_110,"{""Q0"":""I just was my authentic self, I have nothing to hide. I can tell that I have improved throughout the years when I do these types of studies. If I had have had to answer these questions 10 or 20 years ago, even 30, I would have answered a whole lot differently, but thank God, I can tell that I have changed. I love myself and I am pleased with myself and I have a lot to be grateful for. That's what I love about life, a person can change, if they want to...but it definitely takes want to. Everything worked well during the survey and I'm always glad to reflect on things, doesn't hurt to from time to time. I have learned what's okay to think on and what's not and I have learned how to get things off of my mind and move on a whole lot better than when I was younger lol.""}",,,,,,
study2_109,"{""Q0"":""No technical issues encountered""}",,,,,,
study2_108,"{""Q0"":""""}",,,,,,
study2_107,"{""Q0"":""I carefully considered how each word reflected my personality, used the full scale for accuracy, and found the task engaging and thought-provoking""}",,,,,,
study2_106,"{""Q0"":""I am trying to work on my feelings and understand why I feel the way I do sometimes""}",,,,,,
study2_105,"{""Q0"":""I mostly tried to balance how I would describe myself, and how I think I am from an objective standpoint, because I know sometimes my own biases can influence how I view myself a lot.\n\nAlso, occasionally I felt a bit of worry over choosing the similar slider positions for different word choices, for fear of being screened out or my submission being rejected, but I answered as honestly as possible.""}",,,,,,
study2_104,"{""Q0"":""I just went with my heart and how I feel about myself deep within.""}",,,,,,
study2_103,"{""Q0"":""I went with my gut instinct and looked back on the last year of myself mainly.""}",,,,,,
study2_102,"{""Q0"":""Just tried to be truthful and work diligently. Everything was clear and worked well.""}",,,,,,
study2_101,"{""Q0"":""I just went with my gut feeling on things. I answered based on the way I think about myself.""}",,,,,,
study2_100,"{""Q0"":""I felt rushed to a degree. I feel it can take some time to process my thoughts.""}",,,,,,
study2_99,"{""Q0"":""Perhaps make the slider larger since using a thumbpad on a laptop requires straining in order to aim the cursor precisely on the bar.""}",,,,,,
study2_98,"{""Q0"":""I found the study very enjoyable! I realized some things about myself as well, as I really was trying to be honest. I had no idea how heartbroken I still feel, for an example. I'm not really a worrier, but I take care of both of my parents which is extremely stressful so I have a method by which if I am feeling depressed or negative, I will redirect myself. I burnt out taking care of them and have learned to really care for myself first. I found the study engaging and I actually feel pretty good about myself. I enjoyed the sliding scale rather than the bubbles for the assessment, because it helped to visually assess it much better than just a bubble with a label. I also noted that some of the negative words that were asked about later (have you seen this word before?) I was not sure, which was good because maybe I didn't feel those words as much. I really am a peacemaker and kind soul, so these may have been harder to remember because there was no emotion attached to them. Thanks so much! :)""}",,,,,,
study2_97,"{""Q0"":""This experiment was interesting and enjoyable. I tried to take a neutral perspective about myself throughout the task to avoid over or under evaluating my true feelings about myself. I also tried to be as honest as I could.""}",,,,,,
study2_96,"{""Q0"":""I did not imply any strategies i just answered the questions honesyly.""}",,,,,,
study2_95,"{""Q0"":""I just thought about each word and tried to slide the slider to where I thought was appropriate for me.""}",,,,,,
study2_94,"{""Q0"":""I found the experiment overall to be very relaxing while challenging at the same time I can appreciate that.""}",,,,,,
study2_93,"{""Q0"":""""}",,,,,,
study2_92,"{""Q0"":""I just answered honestly. I think it needs to be shorter, broken up into more studies. ""}",,,,,,
study2_91,"{""Q0"":""I just did my best to focus all of my attention on the study at hand. I suppose I feel accomplished regarding my completion. It was a good study and it pays well.""}",,,,,,
study2_90,"{""Q0"":""For the most part, I went with my gut feeling when choosing between the word options.  I feel like I chose as best as I can.""}",,,,,,
study2_89,"{""Q0"":""I just answered with the answers that I felt best represented me. ""}",,,,,,
study2_88,"{""Q0"":""""}",,,,,,
study2_87,"{""Q0"":""Just followed the prompts. Evaluating myself a little more. Think it is a good task""}",,,,,,
study2_86,"{""Q0"":""I tried very hard to really evaluate myself and maybe even how others might see me... I tried not to be too cynical when answering, too. ""}",,,,,,
study2_85,"{""Q0"":""Just tried to be honest with myself.""}",,,,,,
study2_84,"{""Q0"":""""}",,,,,,
study2_83,"{""Q0"":""I tried to pick the best option, whilst also being aware that I'm not perfect and have negative qualitied like everyone else. I feel I have made a lot of progress from my younger days - not worrying as much and having way more confidence.""}",,,,,,
study2_82,"{""Q0"":""I just weighed the options of which I feel myself more of. It wasn't a hard task, but I felt it was repetitive in some areas.""}",,,,,,
study2_81,"{""Q0"":""I thought this was a very interesting study. It forced me to think about what I really thought about myself. ""}",,,,,,
study2_80,"{""Q0"":""There were no issues. ""}",,,,,,
study2_79,"{""Q0"":""I what came to me first when viewing the words.  Tried not to over analyze it.""}",,,,,,
study2_78,"{""Q0"":""N/A""}",,,,,,
study2_77,"{""Q0"":""If you could give more time to respond it would make it easier""}",,,,,,
study2_76,"{""Q0"":""I was just honest and picked the words that I felt represented me the most""}",,,,,,
study2_75,"{""Q0"":""add color""}",,,,,,
study2_74,"{""Q0"":""Less emphasis on precise ratings. It's hard to quantify these feelings on such a granular level.""}",,,,,,
study2_73,"{""Q0"":""I just chose on instinct, whichever word felt more apt.  My feelings are the way they always are, this task didn't trigger anything I was unaware of.  Everything was easy to understand.""}",,,,,,
study2_72,"{""Q0"":""I answered based on how I felt about the describing words""}",,,,,,
study2_71,"{""Q0"":""There were some provisional strategies I came up with throughout the tasks, but nothing really descript. The task with the two words, sometimes the longer words would overlap on top of each other. It was still easy to tell which side which word is on, but I could imagine that being confusing to some people. My feelings are more or less baseline after completing the experiment.""}",,,,,,
study2_70,"{""Q0"":""This was a very long tiring study. Way too many words, I would probably make it shorter. ""}",,,,,,
study2_69,"{""Q0"":""No real strategy used, I just tried to judge each statement or word pair against my personality and answer with the better choice.""}",,,,,,
study2_68,"{""Q0"":""The task works well and was enlightening in terms of allowing me to reflect on myself. ""}",,,,,,
study2_67,"{""Q0"":""No specific strategies, and no other comments.""}",,,,,,
study2_66,"{""Q0"":""I thought about how I felt at the moment.""}",,,,,,
study2_65,"{""Q0"":""I just tried my best to be accurate when describing myself.""}",,,,,,
study2_64,"{""Q0"":""I tried to judge myself objectively when choosing the descriptive words, in order to get a true impression of myself.""}",,,,,,
study2_63,"{""Q0"":""When it comes down to it in an experiment like this, the way things were presented was easy on the eyes and not to draining. It gave you time but also changed within a reasonable manor.""}",,,,,,
study2_62,"{""Q0"":""There were no strategies. I just picked the one i thought was closest to the way i am""}",,,,,,
study2_61,"{""Q0"":""n/a""}",,,,,,
study2_60,"{""Q0"":""""}",,,,,,
study2_59,"{""Q0"":""""}",,,,,,
study2_58,"{""Q0"":""I was able to really self evaluate myself throughout this whole entire task.""}",,,,,,
study2_57,"{""Q0"":""I just tried to be as honest as possible.""}",,,,,,
study2_56,"{""Q0"":""""}",,,,,,
study2_55,"{""Q0"":""I have no notes.""}",,,,,,
study2_54,"{""Q0"":""I just answered intuitively and what I thought about myself. I did select headache because I happen to have one right now and it just made me click it, but I do not think I am a headache to others.""}",,,,,,
study2_53,"{""Q0"":""""}",,,,,,
study2_52,"{""Q0"":""I just tried to be honest with the real me and how I feel ""}",,,,,,
study2_51,"{""Q0"":""Just the usual self reflection that I do for this kind of stuff. I would think about how those words would apply to me overall. ""}",,,,,,
study2_50,"{""Q0"":""I hated having to rate myself.  It made me uncomfortable and self-conscious. I had no strategy.""}",,,,,,
study2_49,"{""Q0"":""N/A""}",,,,,,
study2_48,"{""Q0"":""Whichever word fulfilled my view of myself is what I picked.""}",,,,,,
study2_47,"{""Q0"":""I'm not sure I used any strategies and I don't have thoughts about it.""}",,,,,,
study2_46,"{""Q0"":""Took me a second or two to settle in with the timing of the tasks.""}",,,,,,
study2_45,"{""Q0"":""Being attentive.""}",,,,,,
study2_44,"{""Q0"":""I liked that I was given an update about how much of each task I had completed. The status reports made up for the lack of a progress bar.""}",,,,,,
study2_43,"{""Q0"":""When I had to choose between two words, I actually found that much faster and easier than deciding on a scale how well a word fit me -- because generally, when it was a good quality, it wasn't something that described me, so the other option was best. As far as my feelings after: I actually feel slightly better since I was surprised by how many good qualities I do feel I have (adventurous, creative, etc.) that I had never considered, so thank you for that. I'm grateful for it <3 Task was also very well done. I appreciated the breaks, and can't think of anything that needs improvement. Cheers!""}",,,,,,
study2_42,"{""Q0"":""I didn't have a strategy I just went with what I felt was more like how I felt I was. ""}",,,,,,
study2_41,"{""Q0"":""I didn't employ any strategies, I just tried to take an honest look at myself and accurately rate each word. I don't feel great but then again, I never do...so that's nothing new. I can't think of any ways to improve the task.\n\nI don't know if it's relevant but I've been depressed for close to but not quite 25 years, severely depressed for close to 20 years. I've received no help for it, my family either doesn't notice or don't care, and have just suffered alone the whole time. No therapy, no meds, no friends to talk to, no family to really talk to.Just me alone.\n\nThank you very much for the opportunity to assist with your research.""}",,,,,,
study2_40,"{""Q0"":""No comments. ""}",,,,,,
study2_39,"{""Q0"":""Nothing I can think of in particular, but thank you for the opportunity to participate.""}",,,,,,
study2_38,"{""Q0"":""Sometimes word pairs would show up in the \""Y\"" & \""N\""  section that I didn't see myself as either of them. ""}",,,,,,
study2_37,"{""Q0"":""I tried to remember my previous answers and lump them into categories in my head (words related to intellect or to physical appearance, for example).""}",,,,,,
study2_36,"{""Q0"":""everything was fine. It did seem kind of long""}",,,,,,
study2_35,"{""Q0"":""I enjoyed this task. It made me think of what type of person I really am and how I should improve certain parts of myself.""}",,,,,,
study2_34,"{""Q0"":""I tried to be as honest as possible when answering the questions. I felt wonderful after completing the experiment. I feel that the study was well-designed and engaging. ""}",,,,,,
study2_33,"{""Q0"":""It was all good.""}",,,,,,
study2_32,"{""Q0"":""""}",,,,,,
study2_31,"{""Q0"":""I focused on selecting words that I felt were most accurate and true to my personality .The task felt  interesting, as it made me pause and think about how I view myself.""}",,,,,,
study2_30,"{""Q0"":""i went with gut feelings.""}",,,,,,
study2_29,"{""Q0"":""I just tried to view myself and picked what i though best described me. The task were engaging and passed fairly quick.""}",,,,,,
study2_28,"{""Q0"":""no additional thoughts, no strategies used""}",,,,,,
study2_27,"{""Q0"":""There were times that neither of the two words were descriptive of me. ""}",,,,,,
study2_26,"{""Q0"":""I had no strategy. I just gave my honest answers""}",,,,,,
study2_25,"{""Q0"":""I do have generalized anxiety disorder, panic disorder, OCD, C-PTSD, and am autistic. I'm not sure if that will help you at all, but it probably explains a lot of my responses! I also am not clinically depressed, but I experience a lot of depression in the midst of anxiety/panic attacks. ""}",,,,,,
study2_24,"{""Q0"":""I tried to remember how the words where applied to myself.""}",,,,,,
study2_23,"{""Q0"":""I don't have anything to add.""}",,,,,,
study2_22,"{""Q0"":""""}",,,,,,
study2_21,"{""Q0"":""Well, thanks to this survey I realize how poorly I think of myself, lol. ""}",,,,,,
study2_20,"{""Q0"":""I thought about how each word made me feel and think and though of things that made me think of those words and myself or other people who those words made me think of and compare them to myself on that level on whether the words suit me or not""}",,,,,,
study2_19,"{""Q0"":""I didn't use any strategies, I just picked the words that describe me.""}",,,,,,
study2_18,"{""Q0"":""I didn't employ a strategy.  I just answered how I should.  \n\n\nEverything worked well and was understandable.""}",,,,,,
study2_17,"{""Q0"":""I have nothing to add""}",,,,,,
study2_16,"{""Q0"":""The only strategy that I employed is answering the questions as truthfully as possible.  ""}",,,,,,
study2_15,"{""Q0"":""I just was myself and answered the questions truthfully to my abilities. ""}",,,,,,
study2_14,"{""Q0"":""n/a""}",,,,,,
study2_13,"{""Q0"":""I just tried to rate myself or choose words based on how I felt. Had I known I had to memorize words I would have memorized more. I just responded the best I could as accurately as I could.""}",,,,,,
study2_12,"{""Q0"":""I don't know about strategies, I just adjusted the slider for what I felt was most accurate""}",,,,,,
study2_11,"{""Q0"":""""}",,,,,,
study2_10,"{""Q0"":""I answered all of the questions as truthfully as I could.""}",,,,,,
study2_9,"{""Q0"":""I just went with my gut feelings, as instructed. I enjoyed doing the experiment. Thank you!""}",,,,,,
study2_8,"{""Q0"":""""}",,,,,,
study2_7,"{""Q0"":""it was very long but otherwise ok""}",,,,,,
study2_6,"{""Q0"":""""}",,,,,,
study2_5,"{""Q0"":""sad during the experiment and afterward because too many of the words hit home. :(""}",,,,,,
study2_4,"{""Q0"":""I don't think I used any strategy other than trying to honestly answer.  I am feeling somewhat down after taking the assessment.  No issues or problems with the experiment itself.""}",,,,,,
study2_3,"{""Q0"":""I felt the task was too repetitive. I also understand why you want participants to use the full range of the scale when answering questions, but you should also realize that there are some people that have a tendency to see things as \""black and white\"" instead of shades of gray, so they'll gravitate towards the ends of the scale when answering about the words they feel are descriptive/non-descriptive of them.""}",,,,,,
study2_2,"{""Q0"":""The task was great, I have no complaints. I felt satisfied when I got to this screen. Thank you!""}",,,,,,
study2_1,"{""Q0"":""It was a good time for self reflection, and made me think a lot about my habits. I think in the past I would've ranked myself a bit lower on the higher esteemed type questions so I'm proud of how far I have come with that, but my answers to later questions make me see I am still a worrier, but maybe it's about not letting the worries affect me.""}",,,,,,
